Gene Symbol,Gene Name,Entrez GeneID,Alternate Names,Chromosome Number,Chromosomal Location,UniprotID,OMIM,Molecular Function,Support for Autism,Evidence of Support,Number of gene association studies,Number of positive association studies,Positive Reference,Number of negative association studies,Negative Reference,Primay Reference,Most cited,Most Recent,Supporting
SLC1A2,"Solute carrier family 1 (glial high affinity glutamate transporter), member 2",6506,"EAAT2, GLT-1",11,11p13,P43004,600300,This gene encodes a member of a family of solute transporter proteins. The membrane-bound protein is the principal transporter that clears the excitatory neurotransmitter glutamate from the extracellular space at synapses in the central nervous system.,Multigenic CNV,"Astrocyte-specific GLT1 inducible knockout mice exhibit pathological repetitive behaviors including excessive and injurious levels of self-grooming and tic-like head shakes; treatment with an N-methyl-D-aspartate (NMDA) receptor antagonist memantine ameliorated these pathological repetitive behaviors (Aida et al., 2015). A survey of 31 patients with WAGR (Wilms tumor, Aniridia, Genitourinary malformations and mental Retardation) syndrome caused by de novo 11p14-p12 deletions found that deletion of SLC1A2 occurred in patients with autism more frequently than in those without autism (Xu et al., 2008).",10,1,25406999,1,20410850,25662838,,,"17322880,19096215,27476654,34797406,34961934,35982159,37543562"
SLC22A15,"Solute carrier family 22, member 15",55356,"UNQ9429/PRO34686, FLIPT1, PRO34686",1,1p13.1,Q8IZD6,608275,Likely functions in the transport of organic cations.,Genetic association,"A SNP within the SLC22A15 gene showed association in the secondary analyses in a combined AGP GWA sample (Anney et al., 2012).",1,0,,0,,22843504,,,
SLC22A3,solute carrier family 22 member 3,6581,"EMT, EMTH, OCT3",6,6q25.3,O75751,604842,The protein encoded by the SLC22A3 gene mediates potential-dependent transport of a variety of organic cations and may play a significant role in the disposition of cationic neurotoxins and neurotransmitters in the brain.,Functional,"SLC22A3-deficient male mice were observed to display impaired social behavior in Garbarino et al., 2018.  Previous studies in SLC22A3-deficient mice had demonstrated altered aminergic transmission and effects on anxiety and stress (Vialou et al., 2008; Wultsch et al., 2009).",4,0,,0,,30423430,,,"18513366,19280114,35205252"
SLC22A9,solute carrier family 22 member 9,114571,"HOAT4, OAT4, OAT7, UST3H, ust3",11,11q12.3,Q8IVM8,607579,This gene encodes for a sodium-independent organic anion transporter which exhibits high specificity for sulfated conjugates of xenobiotics and steroid hormones.,Rare single gene variant,"Two de novo variants (a missense variant and a synonymous variant predicted in PMID 26938441 to affect splicing regulation by altering an exonic splicing regulator) were observed in the SLC22A9 gene in ASD probands from the Simons Simplex Collection (Sanders et al., 2012; O'Roak et al., 2012). Evaluation of the statistical significance of observing multiple functional de novo variants in this gene, taking into account gene length and local sequence context to determine the expected number of variants, generated a p-value of 6.35E-04 (Takata et al., 2016).",6,0,,0,,22495306,,26938441,"22495309,31398340,35982159,37506195"
SLC23A1,solute carrier family 23 member 1,9963,"SLC23A2, SVCT1, YSPL3",5,5q31.2,Q9UHI7,603790,The absorption of vitamin C into the body and its distribution to organs requires two sodium-dependent vitamin C transporters. This gene encodes one of the two transporters. The encoded protein is active in bulk vitamin C transport involving epithelial surfaces.,Rare single gene variant,"De novo variants in the SLC23A1 gene have been identified in ASD probands, including a de novo missense variant (p.Leu465Met) in a proband from the Simons Simplex Collection (Iossifov et al., 2014; Sanders et al., 2015; Yuen et al., 2017).  Functional assessment of the ASD-associated p.Leu465Met missense variant in Drosophila using an overexpression-based strategy in Macrogliese et al., 2022 demonstrated that flies overexpressing SLC23A1-p.Leu465Met exhibited increased lethality when compared with reference protein, indicating a gain-of-function effect.",5,0,,0,,25363768,,35294868,"26402605,28263302,35982159"
SLC24A2,solute carrier family 24 member 2,25769,NCKX2,9,9p22.1,Q9UI40,609838,"This gene encodes a member of the calcium/cation antiporter superfamily of transport proteins. The encoded protein belongs to the SLC24 branch of exchangers, which can mediate the extrusion of one Ca2+ ion and one K+ ion in exchange for four Na+ ions. This family member is a retinal cone/brain exchanger that can mediate a light-induced decrease in free Ca2+ concentration. This protein may also play a neuroprotective role during ischemic brain injury.",Rare single gene variant,"A paternally-inherited deletion disrupting an exon of the SLC24A2 gene was detected in a male ASD proband but not in an affected male sibling; this variant was not observed in controls (Prasad et al., 2012).",4,0,,0,,23275889,,,"16407245,29346770,35982159"
SLC25A12,"solute carrier family 25 (mitochondrial carrier, Aralar), member 12",8604,"ARALAR, ARALAR1",2,2q31.1,O75746,603667,The encoded protein has solute:cation symporter activity.,Genetic Association,"Several studies have found genetic association between the SLC25A12 gene and autism in SARC, AGRE and Irish population cohorts. However, several studies found no genetic association between the SLC25A12 gene and autism in IMGSAC, Chinese Han, Caucasian-American and Portuguese population cohorts.",26,9,"16263864,17894412,18348195,19360665,21609426,24679184,25663199,25921325,37578654",5,"16205742,16648338,17151801,19913066,22739633",15056512,9722566,"16269409,17497669,18180767,26630578","23116158,31398340,32200800,33619735,34797406,38374498"
SLC25A14,"Solute carrier family 25 (mitochondrial carrier, brain), member 14",9016,"RP1-20I3.5, BMCP1, UCP5",X,Xq26.1,O95258,300242,Participates in the mitochondrial proton leak measured in brain mitochondria.,Functional,"Reduced expression in two out of three brain regions (anterior cingulate gyrus, motor cortex, and thalamus) following gene expression analysis of postmortem brain tissue of autism patients (Anitha et al., 2012).",3,0,,0,,23116158,,,"32530565,35982159"
SLC25A24,"Solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24",29957,"RP11-356N1.3, APC1, SCAMC-1",1,1p13.3,Q6NUK1,608744,"Calcium-dependent mitochondrial solute carrier. May act as a ATP-Mg/Pi exchanger that mediates the transport of Mg-ATP in exchange for phosphate, catalyzing the net uptake or efflux of adenine nucleotides into or from the mitochondria.",Functional,"Reduced expression in two out of three brain regions (anterior cingulate gyrus, motor cortex, and thalamus) following gene expression analysis of postmortem brain tissue of autism patients (Anitha et al., 2012).",4,1,28472652,0,,23116158,,,"35982159,37506195"
SLC25A27,solute carrier family 25 member 27,9481,"RP11-446F17.2, UCP4",6,6p12.3,O95847,613725,"Mitochondrial uncoupling proteins (UCP) are members of the larger family of mitochondrial anion carrier proteins (MACP). UCPs separate oxidative phosphorylation from ATP synthesis with energy dissipated as heat, also referred to as the mitochondrial proton leak. UCPs facilitate the transfer of anions from the inner to the outer mitochondrial membrane and the return transfer of protons from the outer to the inner mitochondrial membrane. They also reduce the mitochondrial membrane potential in mammalian cells. Tissue specificity occurs for the different UCPs and the exact methods of how UCPs transfer H+/OH- are not known. UCPs contain the three homologous protein domains of MACPs. Transcripts of this gene are only detected in brain tissue and are specifically modulated by various environmental conditions.",Genetic association/functional,"SLC25A27 showed consistently reduced expression in three brain regions (anterior cingulate gyrus, motor cortex, and thalamus) following gene expression analysis of postmortem brain tissue of autism patients. SLC25A27 also showed genetic association with autism in Japanese families (P=0.046; Z-score 1.990) (Anitha et al., 2012).",1,0,,0,,23116158,,,
SLC25A39,solute carrier family 25 member 39,51629,"CGI-69, CGI69",17,17q21.31,Q9BZJ4,610820,"his gene encodes a member of the SLC25 transporter or mitochondrial carrier family of proteins. Members of this family are encoded by the nuclear genome while their protein products are usually embedded in the inner mitochondrial membrane and exhibit wide-ranging substrate specificity. Although the encoded protein is currently considered an orphan transporter, this protein is related to other carriers known to transport amino acids. This protein may play a role in iron homeostasis and be required for normal heme biosynthesis.",Rare single gene variant,"A de novo frameshift variant in the SLC25A39 gene was identified in an ASD proband from the Simons Simplex Collection in Iossifov et al., 2012. Rare inherited loss-of-function and damaging missense variants in this gene were observed in ASD probands from the Simons Simplex Collection (Krumm et al., 2015) and in a cohort of Chinese ASD probands (Guo et al., 2017). Transmission and De Novo Association (TADA) analysis of a combined cohort consisting of 536 Chinese ASD probands and 1457 Chinese controls, as well as ASD probands and controls from the Simons Simplex Collection and the Autism Sequencing Consortium, in Guo et al., 2017 identified SLC25A39 as an ASD candidate gene with a PTADA of 0.002017.",3,0,,0,,22542183,,28831199,25961944
SLC27A4,"Solute carrier family 27 (fatty acid transporter), member 4",10999,"ACSVL4, FATP4, IPS",9,9q34.11,Q6P1M0,604194,"This gene encodes a member of a family of fatty acid transport proteins, which are involved in translocation of long-chain fatty acids cross the plasma membrane. Clinical studies suggest this gene as a candidate gene for the insulin resistance syndrome, and mutations in this gene have been associated with ichthyosis prematurity syndrome (OMIM 608649).","Rare single gene variant, genetic association","A functional polymorphism statistically enriched in Japanese ASD cases compared to ethnically-matched controls, as well as two novel case-specific missense variants in Japanese male ASD probands, were identified in the SLC27A4 gene (Maekawa et al., 2015).",3,0,,0,,26548558,,,"34797406,35982159"
SLC29A4,solute carrier family 29 member 4,222962,"PSEC0113, ENT4, PMAT",7,7p22.1,Q7RTT9,609149,"This gene encodes a member of the SLC29A/ENT transporter protein family. The encoded membrane protein catalyzes the reuptake of monoamines into presynaptic neurons, thus determining the intensity and duration of monoamine neural signaling. It has been shown to transport several compounds, including serotonin, dopamine, and the neurotoxin 1-methyl-4-phenylpyridinium.",Rare single gene variant,"Two novel missense variants in the SLC29A4 gene that reduced transport uptake activity in cellular assays (c.412G>A/p.Ala138Thr and c.978T>G/p.Asp326Glu) were identified in a total of six individuals out of a cohort of 248 Caucasian ASD cases (Adamsen et al., 2014).",2,0,,0,,25802735,,,35982159
SLC30A3,solute carrier family 30 member 3,7781,ZNT3,2,2p23.3,Q99726,602878,This gene encodes a synaptic zinc transporter that is involved in the accumulation of zinc in synaptic vesicles.,Functional,"SLC30A3-deficient male mice were found to exhibit autistic behaviors, increased cortical volume and neurite density, and elevated BNDF levels and MMP-9 activity; treatment with the MMP inhibitor minocycline attenuated BDNF levels, megalencephaly and autistic behaviors (Yoo et al., 2016). SLC30A3-null mice had previously been shown to display increased sensitivity to hyperthermia-induced seizures that model febrile seizures (Hildebrand et al., 2015).",2,0,,0,,27352957,,,26647834
SLC30A5,solute carrier family 30,64924,"ZNT5, ZTL1, ZNTL1, ZnT-5",5,5q13.1-q13.2,Q8TAD4,607819,Functions as a zinc transporter in lumens of the golgi apparatus and vesicular compartments where ALPs locate.,Rare Single Gene variant,"Rare mutations in the SLC30A5 gene have been identified with autism (O'Roak et al., 2011; Sanders et al., 2012).",5,0,,0,,21572417,17234632,19451265,"35982159,37393044"
SLC33A1,solute carrier family 33 member 1,9197,"ACATN, AT-1, AT1, CCHLND, SPG42",3,3q25.31,O00400,603690,"The protein encoded by this gene is a probable acetyl-CoA transporter required for the formation of O-acetylated (Ac) gangliosides. A heterozygous missense variant in SLC33A1 was identified in a Chinese family presenting with spastic paraplegia (SPG42; OMIM 612539), whereas biallelic variants in SLC33A1 are associated with congenital cataracts, hearing loss, and neurodegeneration (CCHLND; OMIM 614482).",Functional,"A SLC33A1/AT-1 Tg mouse model that selectively overexpresses human AT-1 in neurons exhibited cognitive deficits, autistic-like social behavior, aberrations in synaptic plasticity, an increased number of dendritic spines and branches, and widespread proteomic changes (Hullinger et al., 2016).",4,0,,0,,27242167,,,"19061983,22243965,25402622"
SLC35A3,solute carrier family 35 member A3,23443,AMRS,1,1p21.2,Q9Y2D2,605632,"This gene encodes a UDP-N-acetylglucosamine transporter found in the golgi apparatus membrane. In cattle, a missense mutation in this gene causes complex vertebral malformation.",Rare single gene variant,"Deleterious compound heterozygous variants in the SLC35A3 gene were identified in eight patients from a large kindred presenting with autism spectrum disorder, arthrogryposis, intellectual disability, and epilepsy (Edvardson et al., 2013).",3,0,,0,,24031089,,,"28263302,31398340"
SLC35B1,solute carrier family 35 member B1,10237,UGTREL1,17,17q21.33,P78383,610790,This gene encodes a nucleotide sugar transporter which is a member of solute carrier family 35. The transporters in this family are highly conserved hydrophobic proteins with multiple transmembrane domains.,Genetic association,"Analysis of genome-wide assocation study (GWAS) data from the Autism Genome Project (AGP) identified two SNPs within the sixth intron of the PHB gene that significantly associated with ADI-R item 69 ('repetitive use of objects or interest in parts of objects'); Hi-C interaction analysis subsequently demonstrated that a 10 kb genomic region containing these two SNPs interacted with an adjacent gene, SLC35B1 (Cantor et al., 2017). Both of these SNPs were significant eQTLs for their candidate target gene SLC35B1 in fetal brains, and one of these SNPs (rs2898883) was significantly associated with thalamic volume (SLC35B1 is strongly expressed in the thalamus from prenatal to postnatal stages of development).",1,0,,0,,28533516,,,
SLC35G1,solute carrier family 35 member G1,159371,"C10orf60, POST, TMEM20",10,10q23.33,Q2M3R5,617167,This gene encodes a transmembrane protein which is a member of the drug/metabolite transporter protein superfamily. The encoded protein may play a role in the regulation of calcium levels inside the cell.,Rare single gene variant,"SLC35G1 was identified in an ASD candidate gene in Wang et al., 2023 based on reaching a false discovery rate (FDR) threshold of <0.1 following TADA analysis in both a discovery cohort of 1,141 Chinese ASD probands and a combined cohort consisting of the discovery cohort of Chinese ASD probands and 42,607 ASD probands originally published in Zhou et al., 2022.  Wang et al., 2023 also demonstrated that mice harboring a heterozygous deletion of Slc35g1 exhibited defects in interactive social behaviors and increased marble-burying activity compared to wild-type mice.  In total, four de novo coding variants in SLC35G1 (two loss-of-function variants and two missense variants) have been reported in ASD probands (Yuen et al., 2017; Zhou et al., 2022; Wang et al., 2023).",4,0,,0,,37393044,,,"28263302,35982159,37506195"
SLC38A10,"solute carrier family 38, member 10",124565,"PP1744, FLJ35718, FLJ46399, MGC15523",17,17q25.3,Q9HBR0,,This protein is a putative sodium-dependent neutral amino acid transporter.,Rare Single Gene variant,"A rare deletion in the SLC38A10 gene has been identified with autism (Celestino-Soper et al., 2011).",3,0,,0,,21865298,,,"31398340,35982159"
SLC39A11,solute carrier family 39 member 11,201266,"C17orf26, ZIP-11, ZIP11",17,17q24.3-q25.1,Q8N1S5,616508,Belongs to the ZIP transporter family and may act as a zinc-influx transporter,Genetic association,"A SNP within the SLC39A11 gene showed association in the secondary analyses in a combined AGP GWA sample (Anney et al., 2012).",2,0,,0,,22843504,,,37506195
SLC45A1,solute carrier family 45 member 1,50651,DNB5,1,1p36.23,Q9Y2W3,605763,Mediates glucose uptake along the pH gradient.,Rare single gene variant,"Homozygous missense variants in the SLC45A1 gene that resulted in reduced intracellular glucose transport activity were identified in two unrelated consanguineous families with affected individuals presented with moderate-to-severe intellectual disability, epilepsy, and dysmorphic features (Srour et al., 2017); one of the four affected individuals with a homozygous SLC45A1 missense variant was diagnosed with ASD, while another affected individual presented with autistic traits.",6,0,,0,,28434495,,,"27431290,34797406,35205252,35982159,38438125"
SLC4A10,"solute carrier family 4, sodium bicarbonate transporter-like, member 10",57282,"NBCn2, NCBE",2,2q24.2,Q6U841,605556,inorganic anion exchanger activity,Genetic Association,"A rare CNV in the SLC4A10 gene has been identified with autism in AGRE, NIMH and additional cohorts (Sebat et al., 2007). In addition, a rare translocation involving the SLC4A10 gene has been identified with epilepsy and cognitive impairment in a patient (Gurnett et al., 2008).  More recently, biallelic variants in the SLC4A10 gene have been found to cause an autosomal recessive neurodevelopmental disorder in which a subset of affected individuals presented with autistic features or stereotypy (Fasham et al., 2023; Maroofian et al., 2024).",10,0,,0,,17363630,14592810,"15283764,18165320,18413482,38054405","27862604,35982159,37459438,37506195"
SLC6A1,"Solute carrier family 6 (neurotransmitter transporter), member 1",6529,"GABATHG, GABATR, GAT1",3,3p25.3,P30531,137165,"The SLC6A1 gene encodes a gamma-aminobutyric acid (GABA) transporter, which removes GABA from the synaptic cleft.",Rare single gene variant,"A de novo missense variant in the SLC6A1 gene was identified in an ASD proband from the Simons Simplex Collection (Sanders et al., 2012). This same variant was recently found in two patients (a mother and her female offspring) presenting with myoclonic atonic epilepsy (Carvill et al., 2015). Additional de novo variants in SLC6A1 were identified in patients with myoclonic atonic epilepsy in this report, many of whom also presented with autistic features. This gene was identified by TADA (transmission and de novo association) analysis of a combined dataset from the Simons Simplex Collection (SSC) and the Autism Sequencing Consortium (ASC) as a gene strongly enriched for variants likely to affect ASD risk with a false discovery rate (FDR) of <0.1 (Sanders et al., 2015).  Four de novo missense variants that were predicted to be deleterious (defined as having an MPC score  2) were identified in the SLC6A1 gene in ASD probands from the Autism Sequencing Consortium in Satterstrom et al., 2020; subsequent TADA analysis of de novo variants from the Simons Simplex Collection and the Autism Sequencing Consortium and protein-truncating variants from iPSYCH in this report identified SLC6A1 as a candidate gene with a false discovery rate (FDR)  0.01.  A two-stage analysis of rare de novo and inherited coding variants in 42,607 ASD cases, including 35,130 new cases from the SPARK cohort, in Zhou et al., 2022 identified SLC6A1 as a gene reaching exome-wide significance (P < 2.5E-06).  Phenotypic evaluation of 34 individuals (30 novel, 4 previously published) with SLC6A1 mutations in Johannesen et al., 2018 demonstrated that impaired cognitive development (intellectual disability or learning disability) and epilepsy were the most common phenotypes; in addition, behavioral problems were frequently observed in individuals in this study, with eight patients presenting with ASD or autistic features.  Mermer et al., 2021 experimentally assessed twenty-two SLC6A1 variants identified in patients with a broad spectrum of phenotypes, including SLC6A1 missense variants identified in ASD probands, and found that partial or complete loss of function (characterized by reduced GABA uptake and surface expression) was a common disease mechanism regardless of disease phenotype.",55,2,"28442423,28472652",0,,22495306,,"25865495,26401017,26402605,29315614,34006619,34028503","25363760,25363768,25961944,27479843,27525107,28191889,28263302,28554332,28708303,29621621,29961511,30132828,31031587,31139143,31176687,31273778,31406558,31981491,32277047,32398021,32469098,32660967,32913952,33004838,33431980,33619735,33961861,34622207,34653234,34800434,35322241,35571021,35761184,35911425,35982159,36582431,36674476,36741049,36741059,36973392,37457006,37502687,37541188,37662110,37700749,38008000"
SLC6A3,"Solute carrier family 6 (neurotransmitter transporter), member 3",6531,"DAT, DAT1, PKDYS",5,5p15.33,Q01959,126455,"This gene encodes an amine transporter that terminates the action of dopamine by its high affinity sodium-dependent reuptake into presynaptic terminals. Mutations in this gene are associated with Parkinsonism-dystonia infantile (PKDYS) [MIM:613135], while variation in the number of 40 bp tandem repeats in the 3'UTR of this gene is associated with idiopathic epilepsy, attention-deficit hyperactivity disorder, dependence on alcohol and cocaine, susceptibility to Parkinson disease and protection against nicotine dependence.",Rare single gene variant,"Functional characterization of a de novo missense variant in the SLC6A3 gene originally identified in a simplex ASD case as part of a whole-exome sequencing study in 175 ASD parent-child trios (originally described by Neale et al. in a 2012 Nature report) showed that this variant (T356M) resulted in anomalous dopamine transporter function and hyperactivity when expressed in the DA neurons of Drosophila (Hamilton et al., 2013). A missense variant in this same gene (p.Ala559Val), previously identified in individuals with ADHD (Mazei-Robison et al., 2005) and bipolar disorder (Grunhage et al., 2000), was recently identified in two unrelated male ASD probands and shown to alter dopamine function and trafficking (Bowton et al., 2014).",16,2,"10924870,9246671",0,,23979605,7717410,"25313507,25331903,29559554,31094705","10889530,16171832,18614672,22514303,24911152,25774383,30755521,34797406"
SLC6A4,"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4",6532,"HTT, 5HTT, OCD1, SERT, 5-HTT, hSERT",17,17q11.2,P31645,182138,"The encoded protein has serotonin transporter activity, serotonin:sodium symport er activity.",Genetic Association,"Several studies have found genetic association between the SLC6A4 gene and autism in AGRE, CPEA, French-Caucasian, Portuguese and several mixed US population cohorts. However, several other studies found no genetic association between the SLC6A4 gene and autism in AGRE, SARC, US and Chinese Han population cohorts. Separately, genetic association has been found between the SLC6A4 gene and pervasive developmental disorder (PDD) in a Dutch population cohort. In addition, rare mutations in the SLC6A4 gene have been identified in individuals with ASD (Neale et al., 2012).",31,8,"11920155,12232775,15094787,15635668,15995945,16103890,23630162,25408912",5,"15108191,15882779,16616719,24192574,30814960",9152989,12130784,"16534505,19016890,19208814,26938441","21183371,22431635,22495311,24066114,25363760,27091118,28088648,35043462,36178075,36991468,37007974,37543562"
SLC6A8,"solute carrier family 6 (neurotransmitter transporter, creatine), member 8",6535,"CT1, CRTR, MGC87396",X,Xq28,P48029,300036,The encoded protein has creatine:sodium symporter activity.,Rare Single Gene variant,"This gene has been identified with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism. As well, rare variants in the SLC6A8 gene have been identified with autism (Po-Argelles et al., 2006).",25,0,,0,,16601898,11326334,16763899,"21267006,23033978,23092983,25363768,26637798,28097321,28831199,30400883,31031587,31452935,31906484,33624935,34797406,34800434,35169411,35979408,35982159,37007974,37460657,37495270,37524782,37830910"
SLC7A3,"Solute carrier family 7 (cationic amino acid transporter, y+ system), member 3",84889,"ATRC3, CAT-3, CAT3",X,Xq13.1,Q8WY07,300443,"This gene encodes a member of the solute carrier family 7 that functions as a sodium-independent cationic amino acid transporter and mediates the uptake of the cationic amino acids arginine, lysine and ornithine.",Rare single gene variant,"A missense variant in the SLC7A3 gene was identified in two brothers with ASD and a maternal half-brother with language delay; sequencing of 148 male patients with ASD identified three additional missense variants in SLC7A3, two of which showed impaired CAT-3 function (Nava et al., 2015).",2,0,,0,,26215737,,,17234578
SLC7A5,solute carrier family 7 member 5,8140,"4F2LC, CD98, D16S469E, E16, LAT1, MPE16",16,16q24.2,Q01650,600182,"The SLC7A5 gene encodes for a sodium-independent, high-affinity transport of large neutral amino acids such as phenylalanine, tyrosine, leucine, arginine and tryptophan.",Functional/syndromic,"Deletion of Slc7a5 from the endothelial cells of the blood-brain barrier in mice resulted in an atypical amino acid profile in the brain, abnormal mRNA translation, reduced mIPSC frequency in pyramidal neurons of the somatosensory cortex and cerebellar Purkinje cells, decreased exploratory behavior and locomotion, and abnormalities in social interaction (Tarlungeanu et al., 2016). In the same report, homozygous loss-of-function missense variants in the SLC7A5 gene were identified in two consanguineous families with affected individuals displaying ASD, delays in gross motor, fine motor, and social milestones, delayed or absent language development, and microcephaly or seizures.",6,0,,0,,27912058,,36996814,"30356053,31701662,32821949,35982159"
SLC7A7,solute carrier family 7 member 7,9056,"LAT3, LPI, MOP-2, Y+LAT1, y+LAT-1",14,14q11.2,Q9UM01,603593,The protein encoded by this gene is the light subunit of a cationic amino acid transporter. This sodium-independent transporter is formed when the light subunit encoded by this gene dimerizes with the heavy subunit transporter protein SLC3A2. This transporter is found in epithelial cell membranes where it transfers cationic and large neutral amino acids from the cell to the extracellular space. Defects in this gene are a cause of lysinuric protein intolerance (LPI).,Rare single gene variant,"A de novo nonsense variant in the SLC7A7 gene was detected in an ASD proband from the Simons Simplex Collection in O'Roak et al., 2012. Targeted sequencing of 536 Chinese ASD probands and 1457 Chinese controls in Guo et al., 2017 detected one rare inherited loss-of-function variant and one rare inherited damaging missense variant in Chinese ASD probands. Transmission and De Novo Association (TADA) analysis of a combined cohort consisting of Chinese ASD cases and controls, as well as ASD probands and controls from the Simons Simplex Collection and the Autism Sequencing Consortium, in Guo et al., 2017 identified SLC7A7 as an ASD candidate gene with a PTADA of 0.005861.",6,0,,0,,22495309,,28831199,"31398340,37506195,37524782,37788244"
SLC9A6,"solute carrier family 9 (sodium/hydrogen exchanger), member 6",10479,MRSA; NHE6; KIAA0267,X,Xq26.3,Q92581,300231,This gene encodes a sodium-hydrogen exchanger that is a member of the solute carrier family 9. The encoded protein may be involved in regulating endosomal pH and volume.,Syndromic,"This gene has been identified with syndromic autism, where a subpopulation of individuals with a given syndrome develop autism. In particular, studies have found SLC9A6 variants to be identified with X-linked mental retardation and Angelman-like phenotypes. As well, mutation in the SLC9A6 gene has been identified with autism (Garbern et al., 2010).",22,0,,0,,20395263,18342287,"19471312,20130086,22541666,24035762","23508127,25044251,25167861,25533962,27256868,29100083,30842647,31130284,31175985,31906484,32429945,32722525,34797406,35982159,37541188,37805537"
SLC9A9,"solute carrier family 9 (sodium/hydrogen exchanger), member 9",285195,NHE9,3,3q24,Q8IVB4,608396,enzyme involved in pH regulation,Rare Single Gene variant,"Rare variants in the SLC9A9 gene have been identified with autism in the HMCA cohort (Morrow et al., 2008). In addition, rare variants in SLC9A9 have been identified with ADHD and genetic association has been found with age of onset of ADHD.",17,0,,0,,18621663,14569117,"17005858,18057008,18937294,23715297,24065030","23508127,27123481,27439572,29362376,30927234,34797406,35205252,35982159,37506195,37543562"
SLCO1B3,"Solute carrier organic anion transporter family, member 1B3",28234,"HBLRR, LST-2, LST-3TM13, LST3, OATP-8, OATP1B3, OATP8, SLC21A8",12,12p12.2,Q9NPD5,605495,This gene encodes a liver-specific member of the organic anion transporter family. The encoded protein is a transmembrane receptor that mediates the sodium-independent uptake of endogenous and xenobiotic compounds and plays a critical role in bile acid and bilirubin transport. Mutations in this gene are a cause of Rotor type hyperbilirubinemia (OMIM:237450).,Rare single gene variant,"A de novo splice-site variant in this gene has been identified in a simplex ASD proband (De Rubeis et al., 2014). Furthermore, an inherited LoF variant in this gene was observed in both affected siblings from a quartet ASD family (Yuen et al., 2015). This gene was also included in a set of genes strongly enriched for those likely to affect risk (FDR < 0.30) (De Rubeis, et al., 2014).",6,0,,0,,25363760,,25621899,"31398340,31674007,35982159,37506195"
SLFN5,schlafen family member 5,162394,,17,17q12,Q08AF3,614952,The protein encoded by this gene is predicted to enable ATP binding activity and to be involved in cell differentiation.,Rare single gene variant,"Transmission And De Novo Association (TADA) analysis of whole-genome sequencing data from a cohort of 4,551 individuals in 1,004 multiplex families having two or more autistic children identified SLFN5 as a novel ASD risk gene with a false discovery rate (FDR) less than 0.1.  De novo missense variants in this gene have also been observed in three ASD probands (Iossifov et al., 2014; Yuen et al., 2017; Zhou et al., 2022).",4,0,,0,,37506195,,,"25363768,28263302,35982159"
SLIT3,slit guidance ligand 3,6586,"UNQ691/PRO1336, MEGF5, SLIL2, SLIT1, Slit-3, slit2",5,5q34-q35.1,O75094,603745,"May act as molecular guidance cue in cellular migration, and function may be mediated by interaction with roundabout homolog receptors. Duplications harboring the SLIT3 gene have been proposed to be a risk factor in major depressive disorder (Glessner et al., 2010).",Multigenic CNV,"Potentially damaging heterozygous missense variants in the SLIT3 gene were identified in affected members of two extended multiplex ASD families (Cukier et al., 2014).",5,0,,0,,24410847,,,"21152026,28867142,35205252,35982159"
SLITRK2,SLIT and NTRK like family member 2,84631,"CXorf1, CXorf2, SLITL1, TMEM257",X,Xq27.3,Q9H156,300561,"This gene encodes an integral membrane protein that contains two N-terminal leucine-rich repeats domains and contains C-terminal regions similar to neurotrophin receptors. The encoded protein may play a role in modulating neurite activity.  It is involved in synaptogenesis and promotes excitatory synapse differentiation (Beaubien et al., 2016; Kang et al., 2016).",Rare single gene variant,"El Chehadeh et al., 2022 reported eight individuals from seven unrelated families presenting a neurodevelopmental disorder characterized by developmental delay, intellectual disability, and behavioral/neuropsychiatric manifestations (including ASD in 4/8 individudals) and harboring rare potential disease-causing variants in SLITRK2; functional studies subsequently showed that some of these variants caused impaired surface trafficking in transfected HEK293T cells and impaired dendritic targeting in cultured hippocampal neurons, as well as an inability to rescue deficits in excitatory synapse development and transmission in Slitrk2-cKO hippocampal neurons.  El Chehadeh et al., 2022 also demonstrated that Slitrk2 conditional knockout mice were found to exhibit impaired long-term memory and abnormal gait.  Slitrk2 knockout mice had previously been shown to exhibit increased locomotor activity in novel environments, antidepressant-like behaviors, enhanced vestibular function, and increased plasticity at mossy fiber-CA3 synapses with reduced sensitivity to serotonin (Katayama et al., 2022).  The protein encoded by the SLITRK2 gene has been shown to interact with the protein products of the ASD-associated genes SHANK3, DLG2, and DLG4, and these interactions are required for SLITRK2-mediated excitatory synapse development (Han et al., 2019; Loomis et al., 2020).  A maternally-inherited SLITRK2 missense variant (p.Val89Met) that was originally identified as being transmitted to three sisters with schizophrenia in Piton et al., 2011 was experimentally shown in Kang et al., 2016 to compromise synapse formation activity in cultured hippocampal neurons.",8,0,,0,,35840571,,,"20479760,27273464,27812321,31745231,31923461,35789858,38283150"
